Sample	SampleID	Sampletype	Summer	Year	Date sampling	Site	Lat_S	Long_W	Depth (m)	Genus	Samples_name	Samples_names	label
E93	E93	sponge	2020	2021	2021-01-28T00:00:00Z	SE3	60°2924.5	59°4007.3	11	Mycale	Mycale acerata	Mycale acerata	M.acerata.7_2020
E95	E95	sponge	2020	2021	2021-01-28T00:00:00Z	SE3	60°2924.5	59°4007.3	11	Mycale	Mycale acerata	Mycale acerata	M.acerata.8_2020
E96	E96	sponge	2021	2021	2021-12-09T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.1_2021
E98	E98	sponge	2021	2021	2021-12-09T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.2_2021
E100	E100	sponge	2021	2021	2021-12-09T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.3_2021
E101	E101	sponge	2021	2021	2021-12-09T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	undetermined Demospongiae	undetermined Demospongiae _1	undetermined Demospongiae	undDemospongiae.1_2021
E109	E109	sponge	2021	2021	2021-12-12T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Myca.4_2021
E110	E110	sponge	2021	2021	2021-12-12T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.5_2021
E112	E112	sponge	2021	2021	2021-12-12T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	undetermined Demospongiae	undetermined Demospongiae _2	undetermined Demospongiae	undDemospongiae.2_2021
E115	E115	sponge	2021	2021	2021-12-12T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).1_2021
E116	E116	sponge	2021	2021	2021-12-16T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.6_2021
E119	E119	sponge	2021	2021	2021-12-16T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Dendrilla	Dendrilla antarctica	Dendrilla antarctica	D.antarctica.1_2021
E122	E122	sponge	2021	2021	2021-12-16T00:00:00Z	SE2	60°2924.5	59°4007.3	dic-15	Mycale	Mycale sp.	Mycale sp.	Mycale.7_2021
